"filename", "language", "C", "C++", "Markdown", "comment", "blank", "total"
"d:\projects\RainbowLexer\README.md", "Markdown", 0, 0, 93, 0, 8, 101
"d:\projects\RainbowLexer\RainbowLexer.c", "C", 1001, 0, 0, 65, 33, 1099
"d:\projects\RainbowLexer\RainbowLexer.h", "C++", 0, 10, 0, 0, 0, 10
"d:\projects\RainbowLexer\RainbowLexerFront.c", "C", 686, 0, 0, 4, 5, 695
"d:\projects\RainbowLexer\RainbowLexerFront.h", "C++", 0, 11, 0, 0, 0, 11
"d:\projects\RainbowLexer\RainbowLexerSrc.c", "C", 283, 0, 0, 6, 10, 299
"d:\projects\RainbowLexer\compileRes.c", "C", 340, 0, 0, 0, 35, 375
"d:\projects\RainbowLexer\demoCompile____HeaderIncludeTest.c", "C", 616, 0, 0, 7, 10, 633
"d:\projects\RainbowLexer\demoCompile____HeaderIncludeTest.h", "C++", 0, 16, 0, 0, 1, 17
"d:\projects\RainbowLexer\demoCompile____HeaderIncludeTest20200702.c", "C", 808, 0, 0, 8, 9, 825
"d:\projects\RainbowLexer\demoCompile____HeaderIncludeTest20200702.h", "C++", 0, 20, 0, 1, 1, 22
"Total", "-", 3734, 57, 93, 91, 112, 4087
